0,1
내용__020003,NNG
을,JKO
공부하,VV
겠,EP
습니다,EF
.,SF
그리고,MAJ
대화__060000,NNG
에,JKB
나오__000101,VV
ㄴ,ETM
표현__000001,NNG
들__09,XSN
",",SP
같__000202,VA
은,ETM
상황__020000,NNG
에서,JKB
어떤,MM
행동__000001,NNG
을,JKO
계속하__030001,VV
여서,EC
하__010101,VV
ㅁ,ETN
을,JKO
나타내__000200,VV
는,ETM
~,SO
을,JKO
때__010001,NNG
마다,JX
",",SP
~,SO
곤하__010201,VA
다,EC
알__000101,VV
거나,EC
듣__010201,VV
은,ETM
사실__040001,NNG
을,JKO
객관화__000001,NNG
하__010101,VV
여,EC
말하__000102,VV
ㄹ,ETM
때__010001,NNG
에,JKB
사용하__030001,VV
는,ETM
표현__000001,NNG
~,SO
다__030101,NNG
이,VCP
ㅂ니다,EF
.,SF
그렇__000001,VA
게,EC
하__010101,VV
는,ETM
것__01,NNB
이,JKS
당연하__010000,VA
다는,ETM
표현__000001,NNG
?,SF
기__210001,NNG
마련,NNB
이,VCP
다,EF
.,SF
를,JKO
배우__010002,VV
어,EC
보__01,VX
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
자__04,IC
",",SP
그럼__01,MAJ
두__01,MM
사람__000010,NNG
의,JKG
대화__060000,NNG
를,JKO
듣__010102,VV
어,EC
보__01,VX
ㅂ시다,EF
.,SF
진우,NNP
씨__07,NNB
무엇,NP
ㄹ,JKO
그렇__000001,VA
게,EC
열심히,MAG
보__010101,VV
고,EC
있__01,VX
는,ETM
것__01,NNB
이,VCP
에요,EF
?,SF
친구__020001,NNG
들__09,XSN
이,JKS
올려놓__000101,VV
은,ETM
여행__020000,NNG
사진__070001,NNG
들__09,XSN
을,JKO
보__010101,VV
고,EC
있__01,VX
어요,EF
.,SF
세상__010001,NNG
에,JKB
는,JX
아름답__000001,VA
고,EC
경이롭,VA
ㄴ,ETM
곳__010001,NNG
이,JKS
너무나,MAG
도,JX
많,VA
은,ETM
것__01,NNB
같__000400,VA
아요,EF
.,SF
요즘,NNG
처럼,JKB
살__010302,VV
는,ETM
것__01,NNB
이,JKS
힘들__000101,VA
고,EC
",",SP
지치__010001,VV
ㄹ,ETM
때__010001,NNG
이,VCP
면,EC
저__03,NP
는,JX
여행__020000,NNG
을,JKO
떠나__000301,VV
는,ETM
상상__070001,NNG
을,JKO
하__010101,VV
곤,EC
하__01,VX
여요,EF
.,SF
그런__01,MM
상상__070001,NNG
만,JX
으로,JKB
도,JX
가슴__010003,NNG
이,JKS
뛰__010102,VV
고,EC
뭐,NP
이,VCP
ㄴ가,EC
짜릿__000100,NNG
하__010101,VV
ㄴ,ETM
것__01,NNB
이,JKS
느끼__020004,VV
어,EC
지__04,VX
ㄴ,ETM
다__030101,NNG
이,VCP
ㅂ니다,EF
.,SF
누구,NP
나,JX
일상__040000,NNG
이,JKS
괴롭,VA
거나,EC
힘들__000101,VA
면,EC
탈출구__000001,NNG
를,JKO
찾__000101,VV
기,ETN
마련,NNB
이,VCP
죠,EF
.,SF
탈출구__000001,NNG
로,JKB
여행__020000,NNG
은,JX
좋__010101,VA
은,ETM
선택__000001,NNG
이,VCP
ㄴ,ETM
것__01,NNB
같__000400,VA
아요,EF
.,SF
그__01,MM
중__04,NNB
에서,JKB
도,JX
저__03,NP
는,JX
아름답__000001,VA
고,EC
신비롭,VA
ㄴ,ETM
자연__010002,NNG
경관__040001,NNG
을,JKO
좋아하__000101,VV
여요,EF
.,SF
자연__010002,NNG
은,JX
인간__010001,NNG
이,JKS
만들__000101,VV
ㄹ,ETM
수__02,NNB
없__010106,VA
는,ETM
신비하,VA
ㄴ,ETM
힘__010001,NNG
을,JKO
가지__000101,VV
ㄴ,ETM
것__01,NNB
같__000400,VA
아요,EF
.,SF
저__03,NP
는,JX
기회__030001,NNG
가,JKC
되__010401,VV
ㄴ다면,EC
아이슬란드,NNP
에,JKB
가__010101,VV
아서,EC
오로라,NNG
를,JKO
보__010101,VV
고,EC
싶,VX
어요,EF
.,SF
아이슬란드,NNP
가,JKS
죽__010001,VV
기,ETN
전__080002,NNG
에,JKB
꼭__03,MAG
가__010101,VV
아,EC
보__01,VX
아야,EC
하__01,VX
ㄹ,ETM
여행지,NNG
로,JKB
선정__070000,NNG
되__010401,VV
었,EP
던,ETM
데__01,NNB
아마__01,MAG
오로라,NNG
때문,NNB
이,VCP
ㄴ,ETM
것__01,NNB
같__000400,VA
아요,EF
.,SF
TV,SL
나,JC
사진__070001,NNG
으로,JKB
보__010101,VV
던,ETM
오로라,NNG
를,JKO
직접,MAG
보__010101,VV
면,EC
어떤,MM
기분__010001,NNG
이,VCP
ㄹ까,EC
요,JX
?,SF
오로라,NNG
는,JX
저__03,NP
의,JKG
고향__020001,NNG
에서,JKB
도,JX
보__010101,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
어요,EF
.,SF
잠깐__000100,NNG
만,JX
요,JX
.,SF
나__03,NP
한테,JKB
사진__070001,NNG
이,JKS
있__010302,VA
는데,EC
보이__020103,VV
어,EC
주__01,VX
ㄹ게,EC
요,JX
.,SF
초록색,NNG
으로,JKB
보이__010200,VV
는,ETM
데__01,NNB
실제로,MAG
보__010101,VV
면,EC
이것,NP
보다,JKB
약간,MAG
연하__010002,VA
ㄴ,ETM
편__04,NNB
이,VCP
에요,EF
.,SF
오로라,NNG
폭풍__010001,NNG
이,JKS
일어나__000202,VV
면,EC
오히려,MAG
더__01,MAG
진하__010004,VA
ㄴ,ETM
색__030001,NNG
이,JKC
되__010401,VV
는데,EC
요,JX
.,SF
하늘__010001,NNG
에서,JKB
벼락__010001,NNG
이,JKS
치__010002,VV
는,ETM
것__01,NNB
같__000400,VA
다가,EC
도,JX
갑자기,MAG
바람__010001,NNG
에,JKB
흩날리,VV
는,ETM
커튼__000001,NNG
자락__010001,NNG
처럼,JKB
하늘__010001,NNG
거린,NNP
다__030101,NNG
이,VCP
ㅂ니다,EF
.,SF
우와,IC
~,SO
사진__070001,NNG
만,JX
으로,JKB
도,JX
황홀하__000001,VA
ㅁ,ETN
이,JKS
느끼__020004,VV
어,EC
지__04,VX
네,EC
요,JX
.,SF
사람__000001,NNG
들__09,XSN
이,JKS
오로라,NNG
를,JKO
왜__02,MAG
신__090001,NNG
의,JKG
선물__030000,NNG
이,VCP
라고,EC
부르__010300,VV
는지,EC
알__000101,VV
ㄹ,ETM
것__01,NNB
같__000400,VA
아요,EF
.,SF
로빈,NNP
씨__07,NNB
는,JX
오로라,NNG
는,JX
자주__01,MAG
보__010101,VV
았,EP
겠,EP
군,EC
요,JX
.,SF
오로라,NNG
를,JKO
항상,MAG
보__010101,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
는,ETM
것__01,NNB
은,JX
아니,VCN
에요,EF
.,SF
오로라,NNG
를,JKO
관측하__000001,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
는,ETM
최적기,NNG
는,JX
11,SN
월__02,NNB
부터,JX
4,SN
월__02,NNB
까지,JX
이,VCP
에요,EF
.,SF
하지만,MAJ
이때,NNG
가,JKC
아니,VCN
더라도,EC
구름__010000,NNG
이,JKS
없__010103,VA
는,ETM
맑__010001,VA
은,ETM
날__010001,NNG
에,JKB
행운__020000,NNG
이,JKS
따르__010202,VV
면,EC
오로라,NNG
를,JKO
만나__000102,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
어요,EF
.,SF
로빈,NNP
씨__07,NNB
얘기__000002,NNG
를,JKO
듣__010201,VV
고,EC
있__01,VX
자니,EC
오로라,NNG
를,JKO
직접,MAG
저__03,NP
의,JKG
눈__010001,NNG
으로,JKB
보__010101,VV
고,EC
싶,VX
네,EC
요,JX
.,SF
직접,MAG
보__010101,VV
면,EC
어떤,MM
느낌,NNG
이,VCP
ㄹ지,EC
정말__01,MAG
궁금하__010000,VA
여요,EF
.,SF
나__03,NP
의,JKG
버킷,NNG
리스트__010000,NNG
중__04,NNB
에,JKB
하나__000202,NNG
대화__060000,NNG
를,JKO
듣__010102,VV
어,EC
보__01,VX
니,EC
진우,NNP
는,JX
아이슬란드,NNP
에,JKB
가__010101,VV
아서,EC
오로라,NNG
를,JKO
보__010101,VV
고,EC
싶,VX
군,EC
요,JX
.,SF
그럼__01,MAG
두__01,MM
사람__000010,NNG
의,JKG
대화__060000,NNG
내용__020003,NNG
을,JKO
자세히,MAG
알아보__000101,VV
ㄹ까,EC
요,JX
?,SF
진우,NNP
씨__07,NNB
무엇,NP
ㄹ,JKO
그렇__000001,VA
게,EC
열심히,MAG
보__010101,VV
고,EC
있__01,VX
는,ETM
것__01,NNB
이,VCP
에요,EF
?,SF
진우,NNP
가,JKS
컴퓨터,NNG
로,JKB
무엇,NP
을,JKO
보__010101,VV
고,EC
있__01,VX
습니다,EF
.,SF
그래서,MAJ
로빈,NNP
이,JKS
진우,NNP
에게,JKB
무엇,NP
을,JKO
보__010101,VV
고,EC
있__01,VX
는지,EC
묻__030001,VV
고,EC
있__01,VX
습니다,EF
.,SF
친구__020001,NNG
들__09,XSN
이,JKS
올려놓__000101,VV
은,ETM
여행__020000,NNG
사진__070001,NNG
들__09,XSN
을,JKO
보__010101,VV
고,EC
있__01,VX
어요,EF
.,SF
세상__010001,NNG
에,JKB
는,JX
아름답__000001,VA
고,EC
경이롭,VA
ㄴ,ETM
곳__010001,NNG
이,JKS
너무나,MAG
도,JX
많,VA
은,ETM
것__01,NNB
같__000400,VA
아요,EF
.,SF
요즘,NNG
처럼,JKB
살__010302,VV
는,ETM
것__01,NNB
이,JKS
힘들__000101,VA
고,EC
",",SP
지치__010001,VV
ㄹ,ETM
때__010001,NNG
면__050004,NNG
저__03,NP
는,JX
여행__020000,NNG
을,JKO
떠나__000301,VV
는,ETM
상상__070001,NNG
을,JKO
하__010101,VV
곤,EC
하__01,VX
여요,EF
.,SF
그런__01,MM
상상__070001,NNG
만,JX
으로,JKB
도,JX
가슴__010003,NNG
이,JKS
뛰__010102,VV
고,EC
뭐,NP
이,VCP
ㄴ가,EC
짜릿__000100,NNG
하__010101,VV
ㄴ,ETM
것__01,NNB
이,JKS
느끼__020004,VV
어,EC
지__04,VX
ㄴ,ETM
다__030101,NNG
이,VCP
ㅂ니다,EF
.,SF
진우,NNP
는,JX
친구__020001,NNG
들__09,XSN
이,JKS
여행__020000,NNG
을,JKO
가__010801,VV
아서,EC
찍__020202,VV
은,ETM
사진__070001,NNG
들__09,XSN
을,JKO
보__010101,VV
고,EC
있__01,VX
다면서,EC
세상__010001,NNG
에,JKB
는,JX
아름답__000001,VA
고,EC
경이롭,VA
ㄴ,ETM
곳__010001,NNG
이,JKS
많,VA
다고,EC
말하__000102,VV
ㅂ니다,EF
.,SF
여기__01,NP
에서,JKB
경이롭,VA
다는,ETM
놀랍__000001,VA
고,EC
",",SP
신기하__010000,VA
다는,ETM
뜻__000002,NNG
으로,JKB
경이롭,VA
ㄴ,ETM
곳__010001,NNG
은,JX
놀랍__000001,VA
고,EC
신비롭,VA
ㄴ,ETM
장소__050000,NNG
를,JKO
의미하__020002,VV
ㅂ니다,EF
.,SF
깜짝__02,MAG
놀랍__000001,VA
ㄴ,ETM
사실__040001,NNG
이나,JC
사건__010001,NNG
",",SP
기록__020001,NNG
등__05,NNB
을,JKO
나타내__000102,VV
ㄹ,ETM
때__010001,NNG
경이롭,VA
ㄴ,ETM
사실__040001,NNG
",",SP
경이롭,VA
ㄴ,ETM
사건__010001,NNG
",",SP
경이롭,VA
ㄴ,ETM
기록__020002,NNG
등__05,NNB
으로,JKB
쓰이__030101,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
습니다,EF
.,SF
그리고,MAJ
진우,NNP
는,JX
좀__02,MAG
힘들__000102,VA
ㄹ,ETM
때__010001,NNG
마다,JX
어디__01,NP
로,JKB
이,VCP
ㄴ가,EC
떠나__000201,VV
는,ETM
상상__070001,NNG
을,JKO
하__010101,VV
면서,EC
스트레스__000001,NNG
를,JKO
풀__000101,VV
ㄴ다고,EC
말하__000102,VV
ㅂ니다,EF
.,SF
진우,NNP
는,JX
여행__020000,NNG
을,JKO
가__010801,VV
ㄴ다는,ETM
생각__010006,NNG
만,JX
으로,JKB
짜릿하__000001,VA
다고,EC
말하__000102,VV
ㅂ니다,EF
.,SF
짜릿하__000001,VA
다는,ETM
가슴__010003,NNG
이,JKS
뛰__010102,VV
고,EC
흥분되,VV
어,EC
떨리__010001,VV
는,ETM
느낌,NNG
을,JKO
뜻하__000200,VV
는데,EC
예__080001,NNG
를,JKO
들__040201,VV
면,EC
여러분,NP
이,JKS
놀이동산,NNG
에,JKB
가__010101,VV
아서,EC
조금__010001,NNG
은,JX
위험하,VA
여,EC
보이__010200,VV
지만,EC
재미있,VA
는,ETM
놀이__010001,NNG
기구__140001,NNG
를,JKO
타__020100,VV
ㄹ,ETM
때__010001,NNG
느끼__020004,VV
어,EC
지__04,VX
는,ETM
흥분__000001,NNG
",",SP
즐겁,VA
은,ETM
느낌,NNG
을,JKO
말하__000102,VV
ㅂ니다,EF
.,SF
누구,NP
나,JX
일상__040000,NNG
이,JKS
괴롭,VA
고,EC
힘들__000101,VA
면,EC
탈출구__000001,NNG
를,JKO
찾__000101,VV
기,ETN
마련,NNB
이,VCP
지요,EC
탈출구__000001,NNG
로,JKB
여행__020000,NNG
은,JX
좋__010101,VA
은,ETM
선택__000001,NNG
이,VCP
ㄴ,ETM
것__01,NNB
같__000400,VA
아요,EF
.,SF
그__01,MM
중__04,NNB
에서,JKB
도,JX
저__03,NP
는,JX
아름답__000001,VA
고,EC
신비롭,VA
ㄴ,ETM
자연경관,NNG
을,JKO
좋아하__000101,VV
여요,EF
.,SF
자연__010002,NNG
은,JX
인간__010001,NNG
이,JKS
만들__000101,VV
ㄹ,ETM
수__02,NNB
없__010106,VA
는,ETM
신비하,VA
ㄴ,ETM
힘__010001,NNG
을,JKO
가지__000101,VV
ㄴ,ETM
것__01,NNB
같__000400,VA
아요,EF
.,SF
사람__000001,NNG
들__09,XSN
은,JX
일상__040000,NNG
이,JKS
괴롭,VA
거나,EC
힘들__000102,VA
ㄹ,ETM
때__010001,NNG
그__01,MM
상황__020000,NNG
을,JKO
벗어나__000004,VV
고,EC
싶,VX
어,EC
하__010101,VV
지요,EF
.,SF
여기__01,NP
에서,JKB
탈출구__000001,NNG
란,JX
?,SF
힘들__000101,VA
ㄴ,ETM
상황__020000,NNG
을,JKO
빠지__010400,VV
어,EC
나가__000101,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
는,ETM
길__010007,NNG
이,VCP
라는,ETM
뜻__000002,NNG
이,VCP
ㄴ데,EC
로빈,NNP
이,JKS
탈출구__000001,NNG
로,JKB
선택하,VV
ㄴ,ETM
것__01,NNB
은,JX
무엇,NP
이,VCP
ㅂ니까,EF
?,SF
네__03,IC
",",SP
바로__02,MAG
여행__020000,NNG
이,VCP
라고,EC
말하__000102,VV
고,EC
있__01,VX
습니다,EF
.,SF
여기__01,NP
에서,JKB
신비롭,VA
다는,ETM
새롭__000001,VA
고,EC
",",SP
놀랍__000002,VA
은,ETM
느낌,NNG
을,JKO
나타내__000102,VV
ㄹ,ETM
때__010001,NNG
쓰__030101,VV
는,ETM
표현__000001,NNG
이,VCP
ㅂ니다,EF
.,SF
이야기__000001,NNG
가,JKS
새롭__000001,VA
고,EC
놀랍__000001,VA
다고,EC
하__010101,VV
ㄹ,ETM
때__010001,NNG
",",SP
신비롭,VA
ㄴ,ETM
이야기__000001,NNG
.,SF
그리고,MAJ
우리__03,NP
가,JKS
우주__020001,NNG
를,JKO
보__010101,VV
ㄹ,ETM
때__010001,NNG
어떻,VA
습니까,EF
?,SF
이해하__020102,VV
ㄹ,ETM
수__02,NNB
없__010106,VA
을,ETM
만큼,NNB
놀랍__000001,VA
습니다,EF
.,SF
그리하,VV
여서,EC
신비롭,VA
ㄴ,ETM
우주__020001,NNG
.,SF
이런__01,MM
말__010003,NNG
을,JKO
쓰__030303,VV
ㅂ니다,EF
.,SF
그러__000001,VV
면서,EC
자연__010002,NNG
은,JX
인간__010001,NNG
의,JKG
힘__010001,NNG
이,JKS
미치__020100,VV
지,EC
못__04,MAG
하__010101,VV
ㄹ,ETM
정도__110001,NNG
로,JKB
신비하,VA
ㄴ,ETM
힘__010001,NNG
을,JKO
가지__000101,VV
고,EC
있__01,VX
는,ETM
것__01,NNB
같__000400,VA
다고,EC
말하__000102,VV
ㅂ니다,EF
.,SF
저__03,NP
는,JX
기회__030001,NNG
가,JKC
되__010401,VV
ㄴ다면,EC
아이슬란드,NNP
에,JKB
가__010101,VV
아서,EC
오로라,NNG
를,JKO
보__010101,VV
고,EC
싶,VX
어요,EF
.,SF
아이슬란드,NNP
가,JKS
죽__010001,VV
기,ETN
전__080002,NNG
에,JKB
꼭__03,MAG
가__010101,VV
아,EC
보__01,VX
아야,EC
하__01,VX
ㄹ,ETM
여행지,NNG
로,JKB
선정__070000,NNG
되__010401,VV
었,EP
던,ETM
데__01,NNB
아마__01,MAG
오로라,NNG
때문,NNB
이,VCP
ㄴ,ETM
것__01,NNB
같__000400,VA
아요,EF
.,SF
TV,SL
나,JC
사진__070001,NNG
으로,JKB
보__010101,VV
던,ETM
오로라,NNG
를,JKO
직접,MAG
보__010101,VV
면,EC
어떤,MM
기분__010001,NNG
이,VCP
ㄹ까,EC
요,JX
?,SF
진우,NNP
가,JKS
가__010101,VV
고,EC
싶,VX
어,EC
하__01,VX
는,ETM
곳__010001,NNG
은,JX
어디__01,NP
이,VCP
ㄴ가,EC
요,JX
?,SF
바로__02,MAG
아이슬란드,NNP
이,VCP
ㅂ니다,EF
.,SF
거기__01,NP
에서,JKB
무엇,NP
을,JKO
하__010101,VV
고,EC
싶,VX
어,EC
하__01,VX
나,EC
요,JX
?,SF
오로라,NNG
를,JKO
보__010101,VV
고,EC
싶,VX
어,EC
하__010101,VV
ㅂ니다,EF
.,SF
진우,NNP
는,JX
많,VA
은,ETM
사람__000001,NNG
들__09,XSN
이,JKS
가__010101,VV
아,EC
보__01,VX
고,EC
싶,VX
어,EC
하__01,VX
는,ETM
여행지,NNG
로,JKB
아이슬란드,NNP
를,JKO
선택하,VV
ㄴ,ETM
이유__040001,NNG
는,JX
바로__02,MAG
오로라,NNG
때문,NNB
이,VCP
ㄴ,ETM
것__01,NNB
같__000400,VA
다고,EC
말하__000102,VV
ㅂ니다,EF
.,SF
그러__000001,VV
면서,EC
오로라,NNG
를,JKO
직접,MAG
보__010101,VV
게,EC
되__010401,VV
면,EC
어떤,MM
느낌,NNG
이,VCP
ㄹ까,EC
하__010101,VV
고,EC
상상하__030001,VV
고,EC
있__01,VX
습니다,EF
.,SF
오로라,NNG
는,JX
저__03,NP
의,JKG
고향__020001,NNG
에서,JKB
도,JX
보__010101,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
어요,EF
.,SF
잠깐__000100,NNG
만,JX
요,JX
.,SF
나__03,NP
한테,JKB
사진__070001,NNG
이,JKS
있__010302,VA
는데,EC
보이__020103,VV
어,EC
주__01,VX
ㄹ게,EC
요,JX
.,SF
초록색,NNG
으로,JKB
보이__010200,VV
는,ETM
데__01,NNB
실제로,MAG
보__010101,VV
면,EC
이것,NP
보다,JKB
약간,MAG
연하__010002,VA
ㄴ,ETM
편__04,NNB
이,VCP
에요,EF
.,SF
오로라,NNG
폭풍__010001,NNG
이,JKS
일어나__000202,VV
면,EC
오히려,MAG
더__01,MAG
진하__010004,VA
ㄴ,ETM
색__030001,NNG
이,JKC
되__010401,VV
는데,EC
요,JX
.,SF
하늘__010001,NNG
에서,JKB
벼락__010001,NNG
이,JKS
치__010002,VV
는,ETM
것__01,NNB
같__000400,VA
다가,EC
도,JX
갑자기,MAG
바람__010001,NNG
에,JKB
흩날리,VV
는,ETM
커튼__000001,NNG
자락__010001,NNG
처럼,JKB
하늘__010001,NNG
거린,NNP
다__030101,NNG
이,VCP
ㅂ니다,EF
.,SF
그러__000001,VV
자,EC
로빈,NNP
이,JKS
자신__010001,NNG
의,JKG
고향__020001,NNG
에서,JKB
도,JX
오로라,NNG
를,JKO
보__010101,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
다고,EC
하__010701,VV
면서,EC
직접,MAG
찍__020203,VV
은,ETM
오로라,NNG
사진__070001,NNG
을,JKO
진우,NNP
에게,JKB
보이__020103,VV
어,EC
주__01,VX
고,EC
있__01,VX
습니다,EF
.,SF
그리고,MAJ
오로라,NNG
의,JKG
모습__010002,NNG
을,JKO
설명하,VV
고,EC
있__01,VX
습니다,EF
.,SF
오로라,NNG
는,JX
어떤,MM
모습__010002,NNG
이,VCP
ㄴ가,EC
요,JX
?,SF
연하__010002,VA
ㄴ,ETM
초록색,NNG
이,JKS
폭풍__010001,NNG
이,JKS
일어나__000202,VV
는,ETM
진하__010004,VA
ㄴ,ETM
초록색,NNG
이,JKC
되__010401,VV
ㄴ다고,EC
하__010800,VV
ㅂ니다,EF
.,SF
그리고,MAJ
벼락__010001,NNG
이,JKS
치__010002,VV
는,ETM
것__01,NNB
처럼,JKB
시끄럽__000101,VA
ㄴ,ETM
소리__010001,NNG
를,JKO
내__020303,VV
다가,EC
갑자기,MAG
가볍__000109,VA
게,EC
날리__020201,VV
는,ETM
모습__010002,NNG
으로,JKB
바뀌__000301,VV
기,ETN
도,JX
하__01,VX
ㄴ다고,EC
말하__000101,VV
ㅂ니다,EF
.,SF
여기__01,NP
에서,JKB
흩날리,VV
다는,ETM
흩어지__000100,VV
어,EC
날리__010000,VV
ㄴ다는,ETM
뜻__000002,NNG
으로,JKB
낙엽__000002,NNG
",",SP
꽃__010002,NNG
잎__010001,NNG
",",SP
머리카락,NNG
등__05,NNB
이,JKS
바람__010001,NNG
에,JKB
흩어지__000100,VV
어,EC
날리__020201,VV
는,ETM
모습__010002,NNG
을,JKO
나타내__000101,VV
ㄹ,ETM
때__010001,NNG
낙엽__000002,NNG
이,JKS
흩날리,VV
다,EC
",",SP
꽃잎,NNG
이,JKS
흩날리,VV
다,EC
",",SP
머리카락,NNG
이,JKS
흩날리,VV
다,EC
등__05,NNB
으로,JKB
쓰이__030101,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
습니다,EF
.,SF
그리고,MAJ
하늘거리__000100,VV
다는,ETM
가볍__000109,VA
게,EC
이리저리__02,MAG
흔들리__000001,VV
ㄴ다는,ETM
뜻__000002,NNG
이,VCP
ㅂ니다,EF
.,SF
즉__01,MAG
",",SP
오로라,NNG
가,JKS
바람__010001,NNG
에,JKB
이리저리__02,MAG
가볍__000109,VA
게,EC
흔들리__000001,VV
는,ETM
모습__010002,NNG
이,JKS
바람__010001,NNG
에,JKB
흔들리__000001,VV
는,ETM
커튼__000001,NNG
과,JKB
비슷하__020100,VA
다는,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
우와,IC
~,SO
사진__070001,NNG
만,JX
으로,JKB
도,JX
황홀하__000001,VA
ㅁ,ETN
이,JKS
느끼__020004,VV
어,EC
지__04,VX
네,EC
요,JX
.,SF
사람__000001,NNG
들__09,XSN
이,JKS
오로라,NNG
를,JKO
왜__02,MAG
',SS
신__090001,NNG
의,JKG
선물__030000,NNG
',SS
이라고,JKQ
부르__010300,VV
는지,EC
알__000101,VV
ㄹ,ETM
것__01,NNB
같__000400,VA
아요,EF
.,SF
로빈,NNP
씨__07,NNB
는,JX
오로라,NNG
는,JX
자주__01,MAG
보__010101,VV
았,EP
겠,EP
군,EC
요,JX
.,SF
진우,NNP
는,JX
로빈,NNP
이,JKS
찍__020203,VV
은,ETM
오로라,NNG
풍경__010001,NNG
사진__070001,NNG
을,JKO
보__010101,VV
면서,EC
감탄하,VV
고,EC
있__01,VX
습니다,EF
.,SF
오로라,NNG
의,JKG
아름답__000001,VA
ㅁ,ETN
을,JKO
황홀하__000001,VA
다고,EC
표현하,VV
고,EC
있__01,VX
습니다,EF
.,SF
황홀하__000001,VA
ㅁ,ETN
은,JX
눈__010001,NNG
이,JKS
부시__020000,VA
ㄹ,ETM
정도__110001,NNG
로,JKB
환하__010101,VA
게,EC
빛나__000002,VV
거나,EC
화려하__000001,VA
다,EC
하__010101,VV
는,ETM
뜻__000002,NNG
으로,JKB
황홀하__000001,VA
ㄴ,ETM
광경,NNG
처럼,JKB
쓰이__030101,VV
기,ETN
도,JX
하__01,VX
고,EC
",",SP
어떤,MM
사물__100002,NNG
의,JKG
마음__010002,NNG
이나,JC
시선__030001,NNG
이,JKS
빼앗기__000001,VV
어,EC
정신__120002,NNG
을,JKO
못__04,MAG
차리__000002,VV
는,ETM
상태__010001,NNG
를,JKO
나타내__000300,VV
는,ETM
뜻__000002,NNG
으로,JKB
황홀하__000001,VA
ㄴ,ETM
표정__030000,NNG
을,JKO
짓__010107,VV
다,EC
오__010101,VV
아,EC
같__000100,VA
은,ETM
경우__030002,NNG
에,JKB
쓰이__030101,VV
기,ETN
도,JX
하__01,VX
ㅂ니다,EF
.,SF
그러__000001,VV
면서,EC
사람__000001,NNG
